,period,PAPR_NONOPEC,PAPR_OPEC,PATC_OECD,PATC_NON_OECD,COPRPUS,CORIPUS,PASC_OECD_T3,COPS_OPEC,COPC_OPEC,T3_STCHANGE_OOECD,T3_STCHANGE_NOECD,WTISPLC,Global Inflation,U.S. Unemployment,U.S. Interest Rate,EU Unemployment,EU Interest Rate,Current Account Balance,"Gross Domestic Product, Current Prices",Political Stability Index IRN,Political Stability Index IRQ,Political Stability Index KWT,Political Stability Index QAT,Political Stability Index SAU,Political Stability Index ARE,Political Stability Index USA,Political Stability Index RUS,Political Stability Index CAN,Political Stability Index CHN,Political Stability Index MEX,Political Stability Index VEN,Political Stability Index BRA,Political Stability Index NGA,Political Stability Index NLD,Political Stability Index NOR,Political Stability Index KAZ,Political Stability Index AGO,Political Stability Index DZA,Political Stability Index COL,Political Stability Index GAB,Political Stability Index OMN,Political Stability Index EGY,Political Stability Index GNQ,Political Stability Index LBR,Political Stability Index LBN,Political Stability Index LCA,Political Stability Index LBY,Political Stability Index MYS,Political Stability Index SYR,Political Stability Index SDN,Political Stability Index TKM,Political Stability Index TTO,Political Stability Index TUN,Political Stability Index UZB,Political Stability Index YEM
169,2014-02-01,59.93796031,32.80975445,46.58573026,47.46764008,8.141079,15.127571,2557.828467,2.399316,30.148513,-0.081642857,1.444875468,100.82,235.547,6.7,0.07,9.03333333333333,0.1567,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
170,2014-03-01,59.77628968,32.31205145,45.40928437,46.10521998,8.296425,15.115742,2564.300188,2.650229,29.963042,0.058354839,-0.366361916,100.8,236.028,6.7,0.08,9.03333333333333,0.1919,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
171,2014-04-01,60.34153216,32.06203645,45.05811371,48.27231628,8.526372,15.864133,2578.782863,2.650028,29.72868,0.535033333,1.322483872,102.07,236.468,6.2,0.09,10.3,0.2539,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
172,2014-05-01,60.41428471,32.41842145,44.37463581,48.20372525,8.64505,15.945548,2643.300914,2.549889,29.991,-1.073096774,1.751301704,102.18,236.918,6.3,0.09,9.03333333333333,0.248,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
173,2014-06-01,61.15315716,32.43537345,45.13892267,48.30365922,8.741716,15.8173,2634.98231,2.600563,30.090178,0.3951,-0.423235526,105.79,237.231,6.1,0.1,9.03333333333333,0.0758,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
174,2014-07-01,61.19877554,32.65880045,46.17574233,47.64306451,8.846147,16.534452,2649.543126,2.400621,30.091445,-0.329129032,0.430934582,103.59,237.498,6.2,0.09,10.0666666666667,0.0433,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
175,2014-08-01,61.4309542,32.87573645,45.66626526,48.00122408,8.931119,16.460355,2694.295524,2.450122,30.338765,-1.253903226,0.804424425,96.54,237.46,6.1,0.09,9.03333333333333,0.0179,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
176,2014-09-01,61.58025216,33.21467145,45.89923127,49.28238748,9.086191,16.0735,2705.601285,2.510674,30.64436,0.095966667,0.763453831,93.21,237.477,5.9,0.09,9.03333333333333,0.0066,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
177,2014-10-01,62.51704694,33.53132645,46.45873062,47.27928023,9.264697,15.361032,2685.156521,2.335499,30.729,0.460870968,-2.969967834,84.4,237.43,5.7,0.09,9.96666666666667,-0.0045,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
178,2014-11-01,62.56442629,33.02378845,45.60121467,48.03640826,9.3241,16.043433,2689.440221,2.350023,30.22702,0.148133333,-1.807901808,75.79,236.983,5.8,0.09,9.03333333333333,-0.0116,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
179,2014-12-01,62.90400339,33.35829945,47.07187029,49.61426685,9.563408,16.469032,2689.155619,2.400223,30.628882,0.453935484,0.414524554,59.29,236.252,5.6,0.12,9.03333333333333,-0.0301,382.726,79596.182,-0.874987661838531,-2.48033785820007,0.149006545543671,0.977457761764526,-0.285844653844833,0.7689089179039,0.582419633865356,-0.943617463111877,1.17550384998322,-0.522584021091461,-0.853918790817261,-0.852002203464508,-0.070290133357048,-2.1302764415741,1.04511535167694,1.11995851993561,0.0360181555151939,-0.333232045173645,-1.19053518772125,-1.11459410190582,0.149542808532715,0.734907329082489,-1.63117659091949,-0.374146550893784,-0.615449607372284,-1.69794130325317,0.816450417041779,-2.35340714454651,0.266619145870209,-2.74882411956787,-2.36308455467224,0.0742060318589211,0.247864335775375,-0.851661503314972,-0.273108631372452,-2.66557502746582
180,2015-01-01,62.19641285,32.85321869,45.82546369,47.22649161,9.382759,15.456129,2722.662447,2.380322,30.087,-0.383258065,-0.916907595,47.22,234.747,5.7,0.11,9.76666666666667,-0.0506,186.396,75128.93,-0.924846887588501,-2.25077962875366,-0.219549298286438,0.983597457408905,-0.634387195110321,0.748049259185791,0.662890195846558,-1.03222346305847,1.26233685016632,-0.552559673786163,-0.801780104637146,-0.971670269966125,-0.331864446401596,-1.92170512676239,0.912540197372437,1.14562010765076,-0.0383530743420124,-0.50538581609726,-1.09078657627106,-1.0726637840271,0.0152472918853164,0.7780522108078,-1.49933218955994,-0.207799196243286,-0.817833304405212,-1.69836449623108,0.837734758853912,-2.18965125083923,0.25394731760025,-2.965176820755,-2.15515303611755,-0.0895711407065392,0.279361039400101,-0.960177004337311,-0.374532461166382,-2.66801619529724
181,2015-02-01,62.13700056,32.77874269,47.96107474,48.26930096,9.489618,15.341571,2717.233513,2.279944,29.935,0.199535714,1.12063481,50.58,235.342,5.5,0.11,9.03333333333333,-0.036,186.396,75128.93,-0.924846887588501,-2.25077962875366,-0.219549298286438,0.983597457408905,-0.634387195110321,0.748049259185791,0.662890195846558,-1.03222346305847,1.26233685016632,-0.552559673786163,-0.801780104637146,-0.971670269966125,-0.331864446401596,-1.92170512676239,0.912540197372437,1.14562010765076,-0.0383530743420124,-0.50538581609726,-1.09078657627106,-1.0726637840271,0.0152472918853164,0.7780522108078,-1.49933218955994,-0.207799196243286,-0.817833304405212,-1.69836449623108,0.837734758853912,-2.18965125083923,0.25394731760025,-2.965176820755,-2.15515303611755,-0.0895711407065392,0.279361039400101,-0.960177004337311,-0.374532461166382,-2.66801619529724
182,2015-03-01,62.37239661,33.57089869,46.36897235,47.06155694,9.582793,15.64,2773.111021,1.879726,30.417765,-0.739612903,-0.710362523,47.82,235.976,5.4,0.11,9.03333333333333,-0.0504,186.396,75128.93,-0.924846887588501,-2.25077962875366,-0.219549298286438,0.983597457408905,-0.634387195110321,0.748049259185791,0.662890195846558,-1.03222346305847,1.26233685016632,-0.552559673786163,-0.801780104637146,-0.971670269966125,-0.331864446401596,-1.92170512676239,0.912540197372437,1.14562010765076,-0.0383530743420124,-0.50538581609726,-1.09078657627106,-1.0726637840271,0.0152472918853164,0.7780522108078,-1.49933218955994,-0.207799196243286,-0.817833304405212,-1.69836449623108,0.837734758853912,-2.18965125083923,0.25394731760025,-2.965176820755,-2.15515303611755,-0.0895711407065392,0.279361039400101,-0.960177004337311,-0.374532461166382,-2.66801619529724
183,2015-04-01,62.29004883,33.76186169,45.95510023,49.24984595,9.657635,16.2728,2800.167635,1.860331,30.482,-0.043766667,0.054822796,54.45,236.222,5.4,0.12,9.6,-0.0745,186.396,75128.93,-0.924846887588501,-2.25077962875366,-0.219549298286438,0.983597457408905,-0.634387195110321,0.748049259185791,0.662890195846558,-1.03222346305847,1.26233685016632,-0.552559673786163,-0.801780104637146,-0.971670269966125,-0.331864446401596,-1.92170512676239,0.912540197372437,1.14562010765076,-0.0383530743420124,-0.50538581609726,-1.09078657627106,-1.0726637840271,0.0152472918853164,0.7780522108078,-1.49933218955994,-0.207799196243286,-0.817833304405212,-1.69836449623108,0.837734758853912,-2.18965125083923,0.25394731760025,-2.965176820755,-2.15515303611755,-0.0895711407065392,0.279361039400101,-0.960177004337311,-0.374532461166382,-2.66801619529724
184,2015-05-01,62.19973872,33.99854569,44.74077389,47.89439326,9.473679,16.401613,2862.032258,1.600471,30.492,-1.357903226,-1.522387481,59.27,237.001,5.6,0.12,9.03333333333333,-0.1058,186.396,75128.93,-0.924846887588501,-2.25077962875366,-0.219549298286438,0.983597457408905,-0.634387195110321,0.748049259185791,0.662890195846558,-1.03222346305847,1.26233685016632,-0.552559673786163,-0.801780104637146,-0.971670269966125,-0.331864446401596,-1.92170512676239,0.912540197372437,1.14562010765076,-0.0383530743420124,-0.50538581609726,-1.09078657627106,-1.0726637840271,0.0152472918853164,0.7780522108078,-1.49933218955994,-0.207799196243286,-0.817833304405212,-1.69836449623108,0.837734758853912,-2.18965125083923,0.25394731760025,-2.965176820755,-2.15515303611755,-0.0895711407065392,0.279361039400101,-0.960177004337311,-0.374532461166382,-2.66801619529724
185,2015-06-01,62.54751835,34.34087869,46.51207062,50.76880229,9.357029,16.701133,2860.586791,1.400246,30.693,0.341366667,0.395826978,59.82,237.657,5.3,0.13,9.03333333333333,-0.1185,186.396,75128.93,-0.924846887588501,-2.25077962875366,-0.219549298286438,0.983597457408905,-0.634387195110321,0.748049259185791,0.662890195846558,-1.03222346305847,1.26233685016632,-0.552559673786163,-0.801780104637146,-0.971670269966125,-0.331864446401596,-1.92170512676239,0.912540197372437,1.14562010765076,-0.0383530743420124,-0.50538581609726,-1.09078657627106,-1.0726637840271,0.0152472918853164,0.7780522108078,-1.49933218955994,-0.207799196243286,-0.817833304405212,-1.69836449623108,0.837734758853912,-2.18965125083923,0.25394731760025,-2.965176820755,-2.15515303611755,-0.0895711407065392,0.279361039400101,-0.960177004337311,-0.374532461166382,-2.66801619529724
186,2015-07-01,62.93399362,34.48233569,47.25784395,50.03946723,9.444542,16.878645,2869.133653,1.460276,30.931,-0.372096774,0.196783868,50.9,238.034,5.2,0.13,9.23333333333333,-0.1177,186.396,75128.93,-0.924846887588501,-2.25077962875366,-0.219549298286438,0.983597457408905,-0.634387195110321,0.748049259185791,0.662890195846558,-1.03222346305847,1.26233685016632,-0.552559673786163,-0.801780104637146,-0.971670269966125,-0.331864446401596,-1.92170512676239,0.912540197372437,1.14562010765076,-0.0383530743420124,-0.50538581609726,-1.09078657627106,-1.0726637840271,0.0152472918853164,0.7780522108078,-1.49933218955994,-0.207799196243286,-0.817833304405212,-1.69836449623108,0.837734758853912,-2.18965125083923,0.25394731760025,-2.965176820755,-2.15515303611755,-0.0895711407065392,0.279361039400101,-0.960177004337311,-0.374532461166382,-2.66801619529724
187,2015-08-01,63.20136613,34.15621369,47.02452343,48.72241136,9.409037,16.700226,2930.120034,1.53017,30.767723,-1.245387097,0.356528562,42.87,238.033,5.1,0.14,9.03333333333333,-0.1213,186.396,75128.93,-0.924846887588501,-2.25077962875366,-0.219549298286438,0.983597457408905,-0.634387195110321,0.748049259185791,0.662890195846558,-1.03222346305847,1.26233685016632,-0.552559673786163,-0.801780104637146,-0.971670269966125,-0.331864446401596,-1.92170512676239,0.912540197372437,1.14562010765076,-0.0383530743420124,-0.50538581609726,-1.09078657627106,-1.0726637840271,0.0152472918853164,0.7780522108078,-1.49933218955994,-0.207799196243286,-0.817833304405212,-1.69836449623108,0.837734758853912,-2.18965125083923,0.25394731760025,-2.965176820755,-2.15515303611755,-0.0895711407065392,0.279361039400101,-0.960177004337311,-0.374532461166382,-2.66801619529724
